id,banco,fecha_operacion,descripcion,referencia,monto,saldo_operacion,etiqueta,
1,BBVA,01/12/2024,T20 SPEI RECIBIDOBANORTE,,4060,,Deposito,
2,BBVA,02/12/2024,Z3 CARGO COBRANZA FACILEASIN,,12079.2,,Retiro,
3,BBVA,02/12/2024,T20 SPEI RECIBIDOSCOTIABANK,,3250,,Deposito,
4,BBVA,02/12/2024,W02 DEPOSITO DE TERCERO,,19720,,Deposito,
5,BBVA,02/12/2024,W02 DEPOSITO DE TERCERO,,19256,,Deposito,
6,BBVA,02/12/2024,P14 TELCEL,,449,,Retiro,
7,BBVA,03/12/2024,N03 TRASPASO CUENTAS PROPIAS,,77821.6,,Retiro,
8,BBVA,03/12/2024,T20 SPEI RECIBIDOSANTANDER,,5800,,Deposito,
9,BBVA,03/12/2024,W02 DEPOSITO DE TERCERO,,71050,,Deposito,
10,BBVA,03/12/2024,N06 PAGO CUENTA DE TERCERO,,7960,,Deposito,
11,BBVA,04/12/2024,T09 TEF RECIBIDO BANORTE,,12180,,Deposito,
12,BBVA,04/12/2024,N06 PAGO CUENTA DE TERCERO,,27550,,Deposito,
13,BBVA,04/12/2024,N06 PAGO CUENTA DE TERCERO,,13920,,Deposito,
14,BBVA,04/12/2024,T20 SPEI RECIBIDOSANTANDER,,81200,,Deposito,
15,BBVA,05/12/2024,W02 DEPOSITO DE TERCERO,,10440,,Deposito,
16,BBVA,05/12/2024,T20 SPEI RECIBIDOSANTANDER,,40000,,Deposito,
17,BBVA,05/12/2024,P14 AMERICAN EXPRESS,,31057.4,,Retiro,
18,BBVA,05/12/2024,N03 TRASPASO CUENTAS PROPIAS,,10292.2,,Retiro,
19,BBVA,05/12/2024,BT2 TRANSFER BBVA 01028855 L,,35650.8,,Deposito,
20,BBVA,06/12/2024,N03 TRASPASO CUENTAS PROPIAS,,12852.8,,Retiro,
21,BBVA,06/12/2024,T17 SPEI ENVIADO BANORTE,,18096,,Retiro,
22,BBVA,06/12/2024,T17 SPEI ENVIADO BANORTE,,38604.8,,Retiro,
23,BBVA,06/12/2024,N03 TRASPASO CUENTAS PROPIAS,,11000,,Retiro,
24,BBVA,06/12/2024,W02 DEPOSITO DE TERCERO,,27376,,Deposito,
25,BBVA,06/12/2024,W02 DEPOSITO DE TERCERO,,27840,,Deposito,
26,BBVA,08/12/2024,W02 DEPOSITO DE TERCERO,,5104,,Deposito,
27,BBVA,09/12/2024,W02 DEPOSITO DE TERCERO,,11600,,Deposito,
28,BBVA,09/12/2024,N06 PAGO CUENTA DE TERCERO,,15000,,Retiro,
29,BBVA,10/12/2024,N03 TRASPASO CUENTAS PROPIAS,,83520,,Deposito,
30,BBVA,10/12/2024,W02 DEPOSITO DE TERCERO,,22116.6,,Deposito,
31,BBVA,10/12/2024,N03 TRASPASO CUENTAS PROPIAS,,16167,,Retiro,
32,BBVA,10/12/2024,N06 PAGO CUENTA DE TERCERO,,800,,Retiro,
33,BBVA,11/12/2024,BT2 TRANSFER BBVA 00797189 L,,13572,,Deposito,
34,BBVA,11/12/2024,U05 DEPOSITO DE FIDUCIARIO,,24128,,Deposito,
35,BBVA,11/12/2024,N06 PAGO CUENTA DE TERCERO,,6960,,Deposito,
36,BBVA,11/12/2024,T20 SPEI RECIBIDOBANORTE,,24128,,Deposito,
37,BBVA,12/12/2024,T20 SPEI RECIBIDOBANORTE,,27966.3,,Deposito,
38,BBVA,12/12/2024,N02 PAGO TARJETA DE CREDITO,,35658.8,,Retiro,
39,BBVA,12/12/2024,W02 DEPOSITO DE TERCERO,,30160,,Deposito,
40,BBVA,13/12/2024,T20 SPEI RECIBIDOAFIRME,,26100,,Deposito,
41,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,89655.8,,Retiro,
42,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,61869.6,,Retiro,
43,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,82388.4,,Retiro,
44,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,76391.5,,Retiro,
45,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,28874.9,,Retiro,
46,BBVA,13/12/2024,N06 PAGO CUENTA DE TERCERO,,9817.05,,Retiro,
47,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,22011,,Deposito,
48,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,32282.8,,Deposito,
49,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,43326,,Deposito,
50,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,5359.2,,Deposito,
51,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,5359.2,,Deposito,
52,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,2679.6,,Deposito,
53,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,13015.2,,Deposito,
54,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,13340,,Deposito,
55,BBVA,13/12/2024,N06 PAGO CUENTA DE TERCERO,,6090,,Deposito,
56,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,16848.4,,Deposito,
57,BBVA,13/12/2024,N03 TRASPASO CUENTAS PROPIAS,,2800.03,,Retiro,
58,BBVA,13/12/2024,T20 SPEI RECIBIDOBANAMEX,,26100,,Deposito,
59,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,23200,,Deposito,
60,BBVA,13/12/2024,T20 SPEI RECIBIDOSANTANDER,,9280,,Deposito,
61,BBVA,13/12/2024,W02 DEPOSITO DE TERCERO,,25520,,Deposito,
62,BBVA,13/12/2024,N06 PAGO CUENTA DE TERCERO,,3828,,Deposito,
63,BBVA,15/12/2024,N06 PAGO CUENTA DE TERCERO,,6380,,Deposito,
64,BBVA,16/12/2024,T20 SPEI RECIBIDOSCOTIABANK,,4344.44,,Deposito,
65,BBVA,16/12/2024,T20 SPEI RECIBIDOSCOTIABANK,,20000,,Deposito,
66,BBVA,16/12/2024,C07 DEP.CHEQUES DE OTRO BANCO,,176900,,Deposito,
67,BBVA,16/12/2024,C07 DEP.CHEQUES DE OTRO BANCO,,34220,,Deposito,
68,BBVA,16/12/2024,T20 SPEI RECIBIDOSANTANDER,,5568,,Deposito,
69,BBVA,16/12/2024,T20 SPEI RECIBIDOBANAMEX,,19720,,Deposito,
70,BBVA,16/12/2024,W02 DEPOSITO DE TERCERO,,12992,,Deposito,
71,BBVA,16/12/2024,W02 DEPOSITO DE TERCERO,,17400,,Deposito,
72,BBVA,16/12/2024,H09 COBRO AUTOMATICO RECIBO,,13645.2,,Retiro,
73,BBVA,17/12/2024,N06 PAGO CUENTA DE TERCERO,,8932,,Deposito,
74,BBVA,17/12/2024,N03 TRASPASO CUENTAS PROPIAS,,21634.4,,Retiro,
75,BBVA,17/12/2024,N03 TRASPASO CUENTAS PROPIAS,,5800,,Retiro,
76,BBVA,17/12/2024,T20 SPEI RECIBIDOBANREGIO,,46400,,Deposito,
77,BBVA,17/12/2024,T20 SPEI RECIBIDOBANREGIO,,46400,,Deposito,
78,BBVA,17/12/2024,N03 TRASPASO CUENTAS PROPIAS,,11600,,Retiro,
79,BBVA,17/12/2024,T17 SPEI ENVIADO BANORTE,,18096,,Retiro,
